acousticness,danceability,energy,valence,instrumentalness,loudness,tempo,popularity,key,mode,duration_ms,speechiness,liveness,explicit,year
0.046,0.691,0.693,0.41,0,-5.978,160.004,43,4,0,279400,0.263,0.348,1,2000
0.015,0.809,0.773,0.695,0,-3.638,114.842,44,11,0,248573,0.044,0.088,0,2000
0.231,0.601,0.541,0.801,0,-4.885,97.062,49,5,1,195601,0.039,0.163,0,2000
0.082,0.873,0.639,0.652,0,-6.924,80.057,43,6,0,329400,0.499,0.144,1,2000
0.001,0.587,0.759,0.866,0,-5.571,128.4,45,5,1,197400,0.035,0.064,0,2000
0.354,0.714,0.827,0.897,0,-5.974,176.072,46,1,1,288867,0.397,0.294,0,2000
0.004,0.524,0.747,0.88,0,-5.692,124.82,44,7,1,242160,0.032,0.04,0,2000
0.02,0.697,0.979,0.583,0.013,-7.262,119.083,45,9,0,233493,0.054,0.317,0,2000
0.143,0.738,0.408,0.417,0,-11.257,136.014,44,1,0,236493,0.116,0.11,0,2000
0,0.585,0.603,0.212,0.891,-7.152,102.364,49,6,1,246067,0.025,0.201,0,2000
0.296,0.637,0.523,0.238,0,-7.802,125.979,50,4,1,231200,0.033,0.101,0,2000
0.216,0.467,0.619,0.346,0,-6.046,167.907,43,8,0,236107,0.035,0.089,0,2000
0.675,0.366,0.635,0.509,0.819,-10.544,88.949,49,0,1,211000,0.032,0.135,0,2000
0.022,0.772,0.28,0.522,0.476,-9.527,168.023,53,5,0,301267,0.086,0.318,0,2000
0.546,0.679,0.474,0.197,0.001,-6.323,117.947,62,6,1,265733,0.029,0.373,0,2000
0.049,0.855,0.644,0.868,0,-7.109,168.813,47,2,1,267360,0.231,0.34,1,2000
0.102,0.737,0.93,0.66,0,-4.749,100.038,45,11,0,224507,0.245,0.19,1,2000
0.055,0.604,0.43,0.644,0,-13.575,68.257,46,7,1,160400,0.032,0.098,0,2000
0.008,0.708,0.794,0.971,0.003,-6.201,104.962,45,0,1,199467,0.048,0.077,0,2000
0.042,0.742,0.732,0.695,0.004,-6.046,97.923,53,2,0,298960,0.031,0.101,0,2000
0.068,0.576,0.849,0.482,0,-5.199,119.999,47,0,1,256933,0.035,0.278,0,2000
0.079,0.607,0.555,0.529,0,-11.347,104.937,46,0,1,220373,0.031,0.929,0,2000
0.412,0.624,0.732,0.619,0,-4.931,145.929,46,4,0,242800,0.054,0.33,0,2000
0.001,0.581,0.804,0.418,0,-8.093,110.022,47,9,1,226133,0.036,0.05,0,2000
0.162,0.916,0.58,0.877,0,-6.333,109.962,49,2,0,170000,0.043,0.174,0,2000
0.341,0.569,0.498,0.089,0,-6.63,72.344,50,4,0,331667,0.027,0.134,0,2000
0.864,0.554,0.3,0.803,0,-12.691,142.566,48,11,1,216093,0.041,0.131,0,2000
0.486,0.893,0.667,0.953,0,-4.673,96.62,50,0,1,155253,0.034,0.081,0,2000
0.403,0.628,0.834,0.626,0,-6.341,97.865,59,6,0,215507,0.05,0.051,0,2000
0.65,0.537,0.454,0.626,0,-7.896,128.193,53,9,1,133293,0.055,0.085,0,2000
0,0.275,0.974,0.237,0.002,-4.624,174.095,49,6,0,291933,0.192,0.158,1,2000
0.091,0.708,0.79,0.755,0,-7.723,132.704,46,7,1,204360,0.031,0.09,0,2000
0.004,0.615,0.799,0.963,0.001,-3.673,103.922,46,4,1,187600,0.046,0.254,0,2000
0.755,0.413,0.501,0.611,0,-7.431,93.466,49,7,1,164600,0.047,0.502,0,2000
0.176,0.914,0.502,0.669,0,-6.523,94.893,1,8,1,223933,0.499,0.071,0,2000
0.002,0.935,0.608,0.066,0,-7.236,101.992,45,1,0,265440,0.085,0.342,1,2000
0.676,0.647,0.49,0.298,0,-5.044,132.336,44,9,1,204067,0.029,0.231,0,2000
0.642,0.625,0.672,0.482,0.233,-7.261,122.087,43,6,0,297667,0.028,0.28,0,2000
0.11,0.728,0.716,0.834,0.001,-6.241,89.971,49,7,0,239507,0.051,0.043,0,2000
0,0.271,0.91,0.149,0,-3.645,88.463,48,7,1,203600,0.085,0.134,0,2000
0.475,0.963,0.822,0.908,0,-6.642,118.499,43,2,1,256493,0.106,0.17,0,2000
0.15,0.66,0.441,0.449,0,-11.02,125.666,59,11,0,267533,0.036,0.081,0,2000
0.001,0.465,0.844,0.155,0.399,-4.352,170.358,60,1,0,223733,0.038,0.086,0,2000
0.121,0.662,0.844,0.485,0,-4.897,99.639,50,1,0,241600,0.073,0.539,0,2000
0.008,0.787,0.904,0.954,0.001,-4.483,110.029,48,8,1,193200,0.067,0.08,0,2000
0.75,0.396,0.362,0.375,0,-6.887,76.436,56,4,0,233000,0.031,0.535,0,2000
0.007,0.552,0.669,0.561,0.047,-4.462,126.092,53,7,1,200200,0.033,0.078,0,2000
0.219,0.729,0.521,0.888,0,-7.225,105.252,49,8,1,203067,0.044,0.074,0,2000
0.088,0.751,0.571,0.723,0,-3.89,77.59,48,6,1,313027,0.248,0.115,1,2000
0.578,0.64,0.781,0.646,0,-3.155,91.02,45,7,1,215600,0.04,0.272,0,2000
0.98,0.365,0.089,0.096,0.91,-19.303,127.511,49,0,1,338573,0.039,0.111,0,2000
0.011,0.575,0.731,0.694,0,-7.876,125.44,46,1,1,179640,0.168,0.351,0,2000
0.952,0.212,0.216,0.077,0.804,-18.373,80.37,48,0,1,192000,0.043,0.107,0,2000
0.001,0.691,0.686,0.666,0.005,-7.465,87.312,57,7,0,257067,0.049,0.106,0,2000
0.719,0.582,0.317,0.618,0,-14.968,94.681,45,7,1,221333,0.03,0.137,0,2000
0.996,0.409,0.002,0.547,0.941,-40.486,72.365,48,0,1,104827,0.067,0.065,0,2000
0.042,0.738,0.382,0.636,0.027,-11.799,83.126,49,1,1,225800,0.076,0.116,0,2000
0.271,0.469,0.913,0.733,0,-2.611,167.96,47,11,0,247773,0.373,0.45,1,2000
0.032,0.839,0.641,0.927,0,-5.669,97.004,51,10,0,242560,0.086,0.06,0,2000
0.098,0.802,0.621,0.81,0.026,-7.932,95.906,54,5,0,242093,0.038,0.063,0,2000
0.974,0.52,0.02,0.367,0.081,-25.37,92.717,47,2,0,162427,0.041,0.242,0,2000
0.366,0.722,0.426,0.38,0.022,-9.952,82.489,53,8,1,293000,0.038,0.074,0,2000
0.001,0.774,0.953,0.873,0,-7.223,126.023,57,0,1,254773,0.05,0.287,0,2000
0.001,0.665,0.967,0.629,0,-4.455,111.045,45,7,1,228907,0.058,0.36,0,2000
0.727,0.387,0.44,0.582,0,-10.937,96.062,47,5,1,212147,0.087,0.138,0,2000
0.244,0.743,0.428,0.904,0.754,-11.526,90.234,47,4,0,324133,0.031,0.083,0,2000
0.417,0.354,0.534,0.2,0,-7.253,75.071,45,5,1,484640,0.06,0.613,0,2000
0.008,0.62,0.85,0.715,0,-4.096,107.982,47,9,1,176507,0.033,0.077,1,2000
0.725,0.671,0.269,0.42,0,-10.258,88.921,55,4,0,227467,0.03,0.113,0,2000
0.01,0.81,0.857,0.646,0,-4.658,104.502,46,4,0,206333,0.088,0.053,0,2000
0,0.52,0.731,0.393,0.009,-6.696,96.993,44,10,0,198067,0.039,0.127,1,2000
0.684,0.452,0.28,0.392,0,-14.094,168.047,46,6,1,229627,0.031,0.105,0,2000
0.792,0.805,0.307,0.547,0.612,-14.281,115.014,56,4,0,178160,0.046,0.373,0,2000
0.147,0.749,0.748,0.745,0,-5.783,110.437,47,0,1,180907,0.031,0.265,0,2000
0.056,0.909,0.74,0.802,0,-2.361,97.855,52,1,1,219840,0.26,0.059,1,2000
0.785,0.685,0.472,0.475,0.284,-9.691,80.487,57,9,0,205720,0.03,0.224,0,2000
0,0.243,0.988,0.277,0.12,-3.485,89.905,53,8,1,316493,0.197,0.341,1,2000
0.736,0.469,0.172,0.031,0.927,-15.15,73.675,53,2,1,144267,0.031,0.113,0,2000
0.552,0.685,0.501,0.851,0,-7.267,83.527,50,6,1,211507,0.042,0.111,0,2000
0.511,0.746,0.417,0.845,0,-10.035,65.089,45,8,1,179493,0.25,0.375,1,2000
0,0.431,0.823,0.271,0,-5.219,150.072,57,4,1,215427,0.064,0.045,0,2000
0.02,0.847,0.579,0.653,0,-9.444,80.956,1,7,1,251573,0.25,0.353,1,2000
0.553,0.513,0.488,0.947,0.006,-11.603,169.601,52,5,1,256973,0.032,0.12,0,2000
0,0.312,0.693,0.519,0,-7.097,144.883,53,2,1,267440,0.033,0.105,0,2000
0.023,0.584,0.509,0.387,0,-10.338,138.022,49,8,1,287733,0.028,0.081,0,2000
0.929,0.229,0.177,0.047,0.564,-15.35,137.847,56,1,1,148573,0.044,0.111,0,2000
